safegraph_id,horizontal_accuracy,longitude,latitude,id_type,utc,geo_hash,x,y
73827b278eaffeb68d3e8347e7332384d326dc05766bd62667261e1e6a523d0b,33.264,-66.1044,17.9989,aaid,1504274064,de0yru85p,234836,218356
dc4ab3632889e59b26d4cdfdea448f7a50185312492d4fb1f13ea16ec1858975,10.619,-66.5409,18.4393,aaid,1504272725,de28vuf2k,188637,267073
f2b9c806bbaa458917d8997dfaf0622c27be124defe20d6d7901d59b3364f214,15.0,-66.0859,18.4005,aaid,1504273299,de308jtwy,236711,262810
8d9036ed2d52d8f5bfffbd2fcdb9de0aac6fcc5cd61e527062bceb47cc9a6c04,10.0,-66.0567,18.1825,idfa,1504273188,de1p2y4bx,239846,238687
f2644e19ad8183d0fdd51f627f654146654f2819febf018109bda5d32142fd8c,65.0,-65.7959,18.0885,idfa,1504273744,de1nyubvh,267473,228359
307c48050f32dbf11d119c88d65cfc6b9ea95f8b6b2e9ff8b3bf39493cf40c84,48.9,-66.17,18.3982,aaid,1504273170,de2bwm23n,227825,262540
4007093a4ddcb5366010f0d363cfadf5e63b5511c6b881fc484ad37497c8db1d,8.0,-66.8687,18.3056,aaid,1504274008,de22nk7tv,153973,252326
e6620f56f680c41c03d0f7435b0f52fabd5fb43a6846a5498030c899463e33e9,20.0,-66.1503,18.3702,aaid,1504273227,de2bw8ny5,229911,259444
cf7c43215dcb33c01d3bf7fb63d441ab660d6123874d99e90b6d754e985ede80,5.0,-65.8107,18.145,idfa,1504273975,de1pnrnn7,265885,234608
54c522f88af79f0a0c4cc13515972e862ddedd2816443d324211c84e333a1930,24.034,-66.0229,18.4431,aaid,1504271626,de30ct7wf,243357,267539
4a586966320616615ca081a667e0b8575197f21cc417c1ba8c6d3f91c2f7b731,8.0,-66.068,18.4236,idfa,1504271631,de30b9ftr,238597,265370
addef983efe91eda50904ea3cab26a7556a898e91507421377424f83a6d11ed6,48.0,-66.095,18.3883,idfa,1504273653,de2bxgrpe,235752,261458
30c66086c758ed9508cb2cd7579ae33c8fe66f02e3aa33f6c69e8e8ae784124b,30.0,-66.2271,18.4125,idfa,1504272182,de2bszyug,221790,264115
b58202c6f43e3894165f47bc1a25120510b4b81ecaff64932aa29c3715f4e98d,5.0,-66.0183,18.2494,idfa,1504272504,de1pcdnyw,243892,246100
f72b3b244e3801b1d3767bb54863690f7af98849d4f734369511d828f9a75311,18.0,-66.8465,18.0371,idfa,1504271004,de0qwgec7,156253,222602
df750a0d58b9f0caa937a12549a1ea90e86d68b4c404d2ad732d1a1f54dd5520,65.0,-66.096,18.4125,idfa,1504273700,de2bxzyke,235641,264136
461aca3a17fd8dfa44cc66bd59d7242c4b895a5a190ca02c8d6283a8fb17bc53,65.0,-66.081,18.4606,idfa,1504274367,de31029k9,237216,269463
6ef59b3c5efa26940f9320d4a126ed4404fa709bacbaaf999801d4c8c7c7e540,64.0,-66.1433,18.1182,idfa,1504273669,de0znf7fq,230695,231554
9d223379264136eb781632ea4d743911b59a6aa149981a0d6547e72abc0abb59,24.106,-67.1101,18.3901,aaid,1504273619,de228ggfk,128487,261756
5a695de8d89de5eef2eb4ded7f0038fe2be2689f29f31ffe27d6f7f8c94255cf,6.0,-66.1843,18.4075,idfa,1504272055,de2btyyp9,226313,263568
95c628778c615e234d1d1882e7d9667dc95f9dd8d688a37bda3dcd8652ea88ee,65.0,-66.0643,18.4257,idfa,1504274064,de30bdm3m,238988,265604
